latent_dim,strategy,beta,method,sample_size,n_selected,success
3,exponential,100.0,cluster_based,1600,1600,True
3,exponential,100.0,equiprobable,100,89,True
3,exponential,100.0,equiprobable,400,343,True
3,exponential,100.0,equiprobable,900,736,True
3,exponential,100.0,equiprobable,1225,156,True
3,exponential,100.0,equiprobable,1600,1242,True
3,exponential,100.0,latin_hypercube,100,100,True
3,exponential,100.0,latin_hypercube,400,400,True
3,exponential,100.0,latin_hypercube,900,900,True
3,exponential,100.0,latin_hypercube,1225,1225,True
3,exponential,100.0,latin_hypercube,1600,1600,True
3,exponential,100.0,adaptive_latin_hypercube,100,100,True
3,exponential,100.0,adaptive_latin_hypercube,400,400,True
3,exponential,100.0,adaptive_latin_hypercube,900,900,True
3,exponential,100.0,adaptive_latin_hypercube,1225,1225,True
3,exponential,100.0,adaptive_latin_hypercube,1600,1600,True
