latent_dim,method,sample_size,n_selected,strategy,beta,success
3,cluster_based,100,100,exponential,10,True
3,cluster_based,400,400,exponential,10,True
3,cluster_based,900,900,exponential,10,True
3,cluster_based,1225,1225,exponential,10,True
3,cluster_based,1600,1600,exponential,10,True
3,equiprobable,100,91,exponential,10,True
3,equiprobable,400,340,exponential,10,True
3,equiprobable,900,725,exponential,10,True
3,equiprobable,1225,154,exponential,10,True
3,equiprobable,1600,1211,exponential,10,True
3,latin_hypercube,100,100,exponential,10,True
3,latin_hypercube,400,400,exponential,10,True
3,latin_hypercube,900,900,exponential,10,True
3,latin_hypercube,1225,1225,exponential,10,True
3,latin_hypercube,1600,1600,exponential,10,True
3,adaptive_latin_hypercube,100,100,exponential,10,True
3,adaptive_latin_hypercube,400,400,exponential,10,True
3,adaptive_latin_hypercube,900,900,exponential,10,True
3,adaptive_latin_hypercube,1225,1225,exponential,10,True
3,adaptive_latin_hypercube,1600,1600,exponential,10,True
