latent_dim,strategy,beta,train_loss,val_loss,training_time,epochs_trained,total_parameters,architecture_type
2,linear,0.1,6.524302355363913e+19,0.202421982108138,98.48576331138611,32,1643,adaptive
2,linear,0.5,0.11993068803849558,0.07725541939615838,106.14167356491089,32,1643,adaptive
2,linear,1.0,0.06402424176856618,0.06286146708307296,130.10483360290527,44,1643,adaptive
2,exponential,0.1,0.04776252761593751,0.052390559537303635,134.29877185821533,44,1643,adaptive
2,exponential,0.5,0.044344952525696375,0.04157588782130693,101.42024803161621,34,1643,adaptive
2,exponential,1.0,0.04170365072572581,0.039448079575964114,90.68198227882385,30,1643,adaptive
3,linear,0.1,0.12089455911906348,0.08631283187831801,159.03261518478394,50,1669,adaptive
3,linear,0.5,21.931864256798928,0.19882005598277105,153.1325170993805,50,1669,adaptive
3,linear,1.0,0.05541459906986499,0.05702374356975414,112.549724817276,35,1669,adaptive
3,exponential,0.1,0.28812805556709004,0.09974414777953595,152.6917154788971,50,1669,adaptive
3,exponential,0.5,0.0549970675371815,0.052448677668260925,178.62044215202332,50,1669,adaptive
3,exponential,1.0,3.62535555146826e+17,5.267006854814849,89.67682719230652,23,1669,adaptive
